order_id,customer_id,date,product_category,amount,payment_method,shipping_state,returned,customer_age
67,53,2023-01-11,Clothing,38.19,Debit Card,CA,False,39.0
68,280,2023-08-22,Clothing,22.57,Credit Card,CA,True,37.0
69,217,2023-07-14,Electronics,24.09,Credit Card,OH,False,50.0
70,252,2023-04-29,Sports,37.36,Debit Card,CA,False,25.0
71,188,2023-01-20,Electronics,52.59,Debit Card,OH,False,42.0
72,41,2023-09-18,Home,60.41,Cash,,False,63.0
73,157,2023-10-20,Books,103.26,Cash,NY,False,26.0
74,15,2023-09-13,Electronics,123.9,Credit Card,IL,False,51.0
75,65,2023-08-10,Home,45.81,Credit Card,FL,False,74.0
76,9,2023-08-14,Electronics,18.84,Debit Card,NY,False,40.0
77,129,2023-02-22,Electronics,52.38,Credit Card,NY,False,22.0
78,136,2023-12-21,Books,11.75,Credit Card,PA,False,72.0
79,63,2023-12-08,Books,14.49,Debit Card,FL,False,42.0
80,139,2023-12-30,Home,71.54,Credit Card,FL,False,25.0
81,81,2023-10-07,Clothing,48.56,Credit Card,OH,False,33.0
82,163,2023-03-22,Electronics,41.73,PayPal,NY,False,
83,289,2023-07-21,Electronics,101.74,Cash,NY,False,65.0
84,261,2023-06-07,Electronics,46.34,Debit Card,NY,False,62.0
85,231,2023-04-30,Electronics,38.73,PayPal,,False,69.0
86,41,2023-02-28,Clothing,30.8,Cash,PA,False,32.0
87,28,2023-08-03,Clothing,21.17,Cash,FL,False,
88,135,2023-05-08,Clothing,46.54,Cash,NY,False,39.0
89,201,2023-08-12,Electronics,29.66,PayPal,CA,False,20.0
90,268,2023-07-28,Clothing,9.69,PayPal,FL,False,55.0
91,33,2023-04-25,Books,38.53,Cash,OH,False,71.0
92,48,2023-07-28,Electronics,31.87,Credit Card,PA,False,31.0
93,62,2023-01-14,Sports,71.56,Credit Card,CA,False,53.0
94,216,2023-01-09,Books,1.93,PayPal,OH,False,35.0
95,293,2023-02-09,Electronics,51.29,PayPal,TX,False,64.0
96,99,2023-08-25,Books,32.58,PayPal,FL,False,58.0
97,172,2023-10-08,Home,7.57,Cash,TX,False,35.0
98,214,2023-12-25,Home,36.56,Credit Card,OH,False,20.0
99,35,2023-07-20,Clothing,21.91,PayPal,OH,False,27.0
100,227,2023-09-03,Clothing,20.63,PayPal,OH,False,66.0
101,101,2023-10-05,Clothing,49.15,Debit Card,NY,False,56.0
102,131,2023-08-23,Clothing,57.04,Cash,PA,False,64.0
103,257,2023-01-04,Home,48.84,Debit Card,NY,False,18.0
104,5,2023-06-03,Home,30.29,Credit Card,PA,False,44.0
105,218,2023-01-29,Clothing,45.01,Debit Card,IL,False,74.0
106,255,2023-04-19,Home,48.93,Debit Card,NY,False,
107,283,2023-04-08,Electronics,88.3,Debit Card,TX,False,28.0
108,207,2023-08-03,Electronics,27.96,Cash,PA,False,66.0
109,15,2023-10-20,Books,41.88,Credit Card,NY,False,22.0
110,42,2023-03-16,Clothing,68.65,Debit Card,FL,False,24.0
111,179,2023-11-22,Electronics,62.18,Cash,OH,False,36.0
112,63,2023-05-26,Electronics,3.11,Credit Card,PA,False,74.0
113,231,2023-05-08,Electronics,22.22,PayPal,PA,False,73.0
114,241,2023-12-07,Sports,46.96,Debit Card,NY,False,46.0
115,52,2023-02-11,Home,15.93,Credit Card,IL,False,
116,96,2023-12-22,Sports,16.36,Debit Card,NY,False,52.0
117,222,2023-02-10,Home,33.15,PayPal,TX,False,64.0
118,231,2023-02-03,Clothing,51.87,Credit Card,TX,False,54.0
119,237,2023-01-17,Clothing,17.8,Cash,PA,False,72.0
120,143,2023-06-14,Home,39.98,Credit Card,PA,False,29.0
121,171,2023-06-02,Electronics,5.85,Cash,NY,False,47.0
122,29,2023-03-17,Books,23.57,Credit Card,TX,False,37.0
123,36,2023-03-28,Books,76.91,Cash,TX,False,54.0
124,13,2023-04-27,Clothing,4.3,PayPal,IL,False,20.0
125,160,2023-12-28,Sports,47.56,PayPal,FL,False,26.0
126,187,2023-12-08,Books,53.36,PayPal,IL,False,58.0
127,243,2023-01-27,Home,46.08,Credit Card,CA,False,56.0
128,86,2023-11-09,Electronics,15.62,PayPal,OH,False,43.0
129,284,2023-10-14,Clothing,47.71,Debit Card,IL,False,19.0
130,66,2023-05-14,Clothing,99.42,PayPal,NY,False,40.0
131,170,2023-08-07,Electronics,28.86,Cash,FL,False,40.0
132,45,2023-06-17,Electronics,38.01,Cash,NY,False,38.0
133,62,2023-04-08,Books,25.82,Cash,OH,False,33.0
134,134,2023-09-25,Electronics,70.7,Credit Card,CA,False,26.0
135,284,2023-08-25,Home,36.32,Debit Card,FL,False,30.0
136,28,2023-11-05,Sports,65.71,PayPal,PA,True,45.0
137,108,2023-06-22,Books,56.55,Debit Card,TX,False,44.0
138,44,2023-07-09,Electronics,6.52,Debit Card,IL,False,68.0
139,286,2023-05-02,Books,8.62,Cash,NY,False,69.0
140,128,2023-02-15,Electronics,14.61,Cash,CA,False,34.0
141,231,2023-03-05,Electronics,19.16,Cash,TX,False,55.0
142,190,2023-05-10,Home,75.5,Credit Card,IL,False,53.0
143,225,2023-11-06,Clothing,20.03,Debit Card,TX,False,18.0
144,283,2023-12-29,Clothing,32.09,Debit Card,IL,False,35.0
145,121,2023-07-12,Home,64.49,Credit Card,PA,False,68.0
146,116,2023-11-03,Electronics,2.65,Credit Card,FL,False,26.0
147,233,2023-06-30,Electronics,29.05,Credit Card,TX,False,30.0
148,259,2023-10-19,Clothing,21.01,Debit Card,TX,False,57.0
149,198,2023-10-09,Books,66.19,Debit Card,TX,False,72.0
150,137,2023-01-29,Home,29.31,Cash,FL,True,62.0
151,165,2023-05-29,Electronics,70.86,Cash,CA,False,32.0
152,225,2023-09-24,Clothing,14.97,Debit Card,IL,False,60.0
153,234,2023-10-23,Electronics,51.04,Cash,PA,False,61.0
154,172,2023-01-11,Electronics,83.97,Credit Card,TX,False,63.0
155,152,2023-06-13,Books,15.79,PayPal,OH,False,21.0
156,160,2023-04-23,Electronics,14.72,Cash,FL,False,50.0
157,96,2023-07-06,Electronics,55.06,Debit Card,CA,True,41.0
158,233,2023-10-22,Home,17.46,Cash,IL,False,53.0
159,180,2023-08-20,Home,9.89,Cash,FL,False,68.0
160,113,2023-08-15,Home,5.12,Cash,PA,False,58.0
161,52,2023-11-06,Electronics,36.89,PayPal,PA,False,
162,268,2023-04-08,Electronics,5.5,Credit Card,IL,False,53.0
163,295,2023-02-24,Electronics,26.31,Debit Card,TX,False,37.0
164,113,2023-04-21,Electronics,37.97,PayPal,PA,False,58.0
165,101,2023-06-01,Home,12.78,Debit Card,CA,False,62.0
166,113,2023-09-03,Books,10.89,Debit Card,FL,False,61.0
167,81,2023-03-10,Home,28.87,Debit Card,,False,28.0
168,187,2023-11-08,Books,26.74,PayPal,TX,False,29.0
169,113,2023-10-16,Clothing,39.35,Credit Card,CA,False,35.0
170,2,2023-09-07,Home,28.32,Debit Card,CA,False,47.0
171,130,2023-02-05,Clothing,31.61,Credit Card,NY,False,61.0
172,220,2023-08-27,Clothing,52.8,Credit Card,CA,False,65.0
173,54,2023-05-28,Clothing,12.05,Cash,IL,False,54.0
174,224,2023-08-15,Electronics,56.23,PayPal,FL,False,37.0
175,225,2023-09-01,Clothing,72.33,PayPal,NY,False,42.0
176,126,2023-12-03,Sports,28.83,Cash,FL,False,29.0
177,130,2023-12-31,Electronics,3.98,Cash,FL,False,38.0
178,53,2023-07-20,Electronics,24.05,Credit Card,TX,False,42.0
179,172,2023-06-03,Clothing,41.69,Debit Card,TX,False,28.0
180,218,2023-03-14,Books,34.75,PayPal,NY,False,26.0
181,160,2023-07-20,Home,180.12,Debit Card,PA,True,67.0
182,198,2023-10-23,Home,2.1,Debit Card,OH,False,42.0
183,247,2023-01-17,Electronics,81.74,Cash,TX,True,52.0
184,203,2023-05-09,Home,45.41,Debit Card,OH,False,69.0
185,184,2023-08-05,Clothing,26.11,Credit Card,TX,False,49.0
186,123,2023-03-02,Books,7.77,Cash,TX,False,66.0
187,255,2023-04-14,Home,67.01,Debit Card,FL,False,31.0
188,294,2023-02-11,Electronics,28.31,Cash,NY,False,18.0
189,280,2023-01-25,Electronics,22.6,Credit Card,FL,False,34.0
190,98,2023-02-08,Electronics,34.04,Credit Card,IL,False,42.0
191,198,2023-10-18,Clothing,36.03,Debit Card,FL,False,25.0
192,240,2023-05-11,Electronics,10.63,Cash,OH,False,22.0
193,144,2023-08-17,Home,23.32,Debit Card,OH,False,22.0
194,97,2023-04-18,Clothing,66.76,Debit Card,IL,True,58.0
195,201,2023-06-21,Electronics,28.77,Cash,CA,True,52.0
196,124,2023-04-12,Electronics,18.79,Debit Card,CA,False,36.0
197,187,2023-12-20,Electronics,27.66,Credit Card,IL,False,40.0
198,259,2023-01-12,Books,37.77,Cash,IL,False,26.0
199,148,2023-10-02,Electronics,32.3,Cash,FL,False,71.0
200,252,2023-04-11,Home,40.62,Cash,IL,False,
201,147,2023-02-13,Books,24.87,Cash,NY,False,67.0
202,148,2023-11-01,Home,32.63,Debit Card,CA,False,33.0
203,199,2023-01-17,Books,26.9,Debit Card,,False,50.0
204,128,2023-11-26,Clothing,44.39,Credit Card,PA,False,19.0
205,39,2023-02-26,Sports,34.34,PayPal,IL,False,31.0
206,129,2023-11-07,Electronics,9.25,PayPal,TX,False,63.0
207,267,2023-10-30,Electronics,43.97,Credit Card,TX,False,18.0
208,151,2023-01-12,Home,44.47,PayPal,IL,False,43.0
209,298,2023-11-14,Sports,145.32,Credit Card,NY,False,42.0
210,99,2023-03-21,Books,108.78,Debit Card,TX,False,33.0
211,263,2023-08-04,Electronics,47.63,Cash,PA,False,32.0
212,252,2023-12-05,Electronics,30.41,Cash,OH,False,43.0
213,144,2023-09-21,Sports,17.93,Debit Card,IL,True,64.0
214,112,2023-05-29,Electronics,36.38,Cash,NY,True,61.0
215,60,2023-03-22,Books,15.45,Cash,NY,False,33.0
216,2,2023-08-03,Books,66.71,PayPal,FL,True,31.0
217,254,2023-07-17,Clothing,3.73,Debit Card,NY,False,46.0
218,140,2023-07-19,Clothing,57.72,PayPal,TX,False,
219,37,2023-01-25,Clothing,150.19,PayPal,OH,False,64.0
220,160,2023-03-30,Electronics,125.7,Cash,TX,False,72.0
221,9,2023-09-25,Books,13.93,Cash,IL,False,32.0
222,233,2023-05-23,Clothing,8.22,Debit Card,OH,False,36.0
223,99,2023-02-28,Books,85.58,Cash,IL,False,25.0
224,147,2023-12-31,Electronics,52.08,Cash,NY,False,51.0
225,208,2023-01-26,Sports,29.3,Debit Card,PA,False,19.0
226,131,2023-02-16,Clothing,55.68,Cash,CA,False,
227,152,2023-10-15,Electronics,15.16,PayPal,OH,False,27.0
228,54,2023-09-23,Electronics,52.96,Debit Card,FL,False,52.0
229,120,2023-01-16,Home,12.0,Cash,CA,True,40.0
230,161,2023-07-18,Home,55.89,Credit Card,NY,False,66.0
231,116,2023-10-09,Books,25.67,Debit Card,NY,True,25.0
232,75,2023-03-27,Electronics,40.53,Debit Card,CA,False,45.0
233,113,2023-09-07,Electronics,41.61,Credit Card,FL,True,40.0
234,104,2023-09-27,Clothing,114.18,Cash,OH,False,21.0
235,254,2023-12-01,Clothing,49.3,Cash,OH,False,31.0
236,227,2023-04-27,Clothing,68.85,Debit Card,CA,False,70.0
237,112,2023-01-07,Sports,48.39,Debit Card,IL,False,59.0
238,99,2023-05-17,Sports,31.46,Cash,TX,False,46.0
239,153,2023-06-25,Sports,27.46,Cash,PA,False,18.0
240,194,2023-11-24,Books,27.37,PayPal,IL,False,21.0
241,163,2023-11-11,Clothing,54.79,Debit Card,OH,False,49.0
242,208,2023-08-03,Clothing,93.84,Debit Card,TX,False,50.0
243,169,2023-03-23,Clothing,95.84,Credit Card,PA,False,66.0
244,161,2023-08-11,Books,26.82,PayPal,PA,False,43.0
245,68,2023-04-13,Electronics,62.1,Cash,PA,True,34.0
246,289,2023-09-30,Clothing,22.53,PayPal,NY,False,56.0
247,277,2023-01-14,Electronics,80.63,Cash,PA,False,40.0
248,135,2023-06-08,Clothing,24.17,Cash,FL,False,
249,195,2023-06-01,Books,87.51,PayPal,CA,False,69.0
250,128,2023-04-18,Books,60.58,Debit Card,OH,False,32.0
251,33,2023-07-07,Electronics,24.27,Cash,FL,False,30.0
252,176,2023-10-28,Sports,66.37,PayPal,CA,False,19.0
253,22,2023-04-08,Home,27.58,Credit Card,IL,False,36.0
254,238,2023-05-11,Electronics,208.28,PayPal,IL,False,41.0
255,158,2023-10-20,Electronics,31.99,Credit Card,CA,False,62.0
256,38,2023-06-20,Electronics,33.4,Cash,FL,False,41.0
257,230,2023-07-02,Electronics,44.66,PayPal,CA,False,28.0
258,51,2023-12-30,Sports,9.62,PayPal,,False,39.0
259,264,2023-02-08,Clothing,65.54,Credit Card,NY,False,32.0
260,283,2023-01-15,Books,13.51,PayPal,OH,True,27.0
261,27,2023-01-04,Clothing,88.39,PayPal,IL,False,58.0
262,226,2023-12-15,Electronics,35.58,Cash,OH,False,44.0
263,277,2023-07-29,Clothing,58.88,PayPal,NY,False,26.0
264,286,2023-06-10,Electronics,49.53,Debit Card,PA,False,69.0
265,97,2023-01-16,Clothing,108.66,Credit Card,PA,False,45.0
266,284,2023-04-18,Sports,3.86,PayPal,IL,False,18.0
267,147,2023-11-07,Clothing,22.16,Credit Card,IL,False,34.0
268,4,2023-08-15,Home,50.3,Credit Card,PA,False,48.0
269,35,2023-06-19,Electronics,8.82,Credit Card,TX,False,61.0
270,192,2023-02-03,Electronics,86.49,PayPal,OH,True,27.0
271,49,2023-09-08,Electronics,52.67,PayPal,NY,False,54.0
272,17,2023-09-04,Home,26.46,Credit Card,OH,False,46.0
273,172,2023-09-26,Electronics,41.94,Debit Card,NY,False,35.0
274,220,2023-05-21,Clothing,21.83,Credit Card,TX,False,64.0
275,158,2023-10-01,Home,3.34,Debit Card,,False,55.0
276,46,2023-04-06,Clothing,24.72,Credit Card,NY,False,56.0
277,6,2023-08-15,Electronics,4.85,Cash,OH,False,66.0
278,99,2023-02-08,Electronics,27.92,Credit Card,CA,False,23.0
279,233,2023-10-29,Sports,35.94,Credit Card,PA,False,57.0
280,37,2023-01-29,Home,71.45,PayPal,PA,False,29.0
281,280,2023-11-14,Clothing,3.41,Debit Card,TX,False,70.0
282,181,2023-09-02,Electronics,49.68,Cash,NY,False,31.0
283,95,2023-08-24,Sports,71.37,Debit Card,FL,False,61.0
284,99,2023-07-04,Home,106.65,Cash,NY,False,72.0
285,188,2023-09-29,Clothing,15.1,Credit Card,PA,False,27.0
286,116,2023-08-24,Books,21.83,PayPal,IL,False,71.0
287,191,2023-08-27,Electronics,74.86,PayPal,CA,False,37.0
288,253,2023-09-23,Clothing,16.81,Debit Card,TX,False,32.0
289,161,2023-12-25,Home,88.91,PayPal,IL,False,
290,256,2023-12-06,Electronics,21.96,Debit Card,OH,False,24.0
291,128,2023-03-06,Sports,88.49,Debit Card,FL,False,58.0
292,18,2023-06-26,Home,21.67,Cash,IL,False,27.0
293,281,2023-01-03,Home,130.83,Debit Card,OH,False,27.0
294,223,2023-05-22,Electronics,83.38,Cash,IL,False,65.0
295,54,2023-06-07,Electronics,32.26,PayPal,FL,False,56.0
296,58,2023-11-20,Clothing,112.21,Debit Card,IL,False,45.0
297,174,2023-05-26,Books,33.6,Debit Card,TX,False,47.0
298,280,2023-10-20,Electronics,44.7,Credit Card,PA,False,54.0
299,114,2023-06-02,Clothing,70.25,Debit Card,NY,False,72.0
300,288,2023-07-12,Home,55.45,Debit Card,IL,False,20.0
301,151,2023-03-14,Electronics,67.53,Credit Card,TX,False,67.0
302,127,2023-11-01,Home,42.3,Credit Card,NY,False,60.0
303,155,2023-12-10,Electronics,27.0,PayPal,OH,False,32.0
304,273,2023-05-20,Sports,43.64,Debit Card,NY,False,38.0
305,104,2023-07-06,Clothing,63.0,PayPal,OH,False,69.0
306,299,2023-10-20,Electronics,69.44,PayPal,IL,False,54.0
307,246,2023-03-02,Clothing,26.91,Credit Card,TX,False,73.0
308,176,2023-07-17,Clothing,42.81,Cash,PA,False,29.0
309,39,2023-10-22,Books,68.22,PayPal,IL,False,21.0
310,170,2023-11-15,Home,196.37,Cash,OH,False,64.0
311,247,2023-10-29,Home,25.61,Debit Card,FL,False,26.0
312,26,2023-12-10,Electronics,33.06,Credit Card,NY,False,56.0
313,13,2023-01-11,Electronics,9.35,Debit Card,IL,False,59.0
314,36,2023-03-03,Electronics,31.13,Debit Card,OH,True,45.0
315,173,2023-11-29,Home,43.54,Credit Card,NY,False,40.0
316,20,2023-08-14,Books,34.22,Debit Card,OH,False,62.0
317,264,2023-06-02,Clothing,17.46,Credit Card,TX,False,57.0
318,142,2023-07-18,Electronics,30.97,Cash,CA,False,61.0
319,143,2023-02-21,Home,15.3,Debit Card,IL,False,39.0
320,92,2023-09-17,Books,86.88,Credit Card,PA,False,41.0
321,288,2023-02-28,Home,50.71,PayPal,IL,False,68.0
322,215,2023-03-13,Books,28.36,Debit Card,NY,False,43.0
323,51,2023-05-28,Electronics,24.25,Cash,TX,False,47.0
324,153,2023-12-15,Electronics,68.54,Credit Card,OH,False,50.0
325,186,2023-03-04,Books,6.21,Debit Card,FL,False,33.0
326,63,2023-11-06,Home,105.85,Debit Card,,False,39.0
327,190,2023-08-31,Clothing,81.21,Debit Card,TX,False,66.0
328,125,2023-11-26,Home,11.85,Cash,IL,False,74.0
329,150,2023-04-17,Books,53.75,Credit Card,FL,False,67.0
330,58,2023-08-14,Home,14.8,PayPal,TX,False,60.0
331,180,2023-11-09,Home,11.6,PayPal,CA,False,35.0
332,170,2023-08-06,Clothing,6.65,PayPal,PA,False,24.0
333,271,2023-08-29,Clothing,10.22,Credit Card,NY,True,67.0
334,54,2023-09-16,Clothing,115.63,PayPal,TX,False,43.0
335,101,2023-09-19,Books,93.5,Cash,TX,False,25.0
336,264,2023-01-05,Books,40.4,Credit Card,CA,False,23.0
337,53,2023-09-18,Books,16.57,Debit Card,IL,False,47.0
338,60,2023-02-23,Electronics,89.27,Cash,OH,False,56.0
339,108,2023-02-16,Home,67.79,Debit Card,OH,False,40.0
340,5,2023-08-03,Books,41.26,PayPal,PA,False,49.0
341,103,2023-06-26,Home,44.12,Cash,PA,False,39.0
342,196,2023-01-09,Books,94.53,Credit Card,NY,False,59.0
343,262,2023-04-09,Books,3.34,Cash,TX,False,60.0
344,47,2023-01-20,Clothing,95.65,Debit Card,FL,False,74.0
345,144,2023-08-29,Clothing,142.98,Credit Card,TX,False,62.0
346,269,2023-03-02,Electronics,37.64,Cash,OH,False,26.0
347,124,2023-06-27,Clothing,7.37,Cash,NY,False,48.0
348,106,2023-12-04,Home,62.32,Cash,TX,False,24.0
349,158,2023-03-03,Books,9.93,Cash,CA,False,26.0
350,147,2023-05-25,Electronics,51.83,Credit Card,OH,False,30.0
351,145,2023-08-04,Electronics,48.92,Debit Card,TX,False,20.0
352,120,2023-01-03,Home,53.64,Cash,TX,False,52.0
353,275,2023-06-09,Electronics,54.77,Credit Card,OH,False,50.0
354,92,2023-08-15,Electronics,28.68,Debit Card,FL,False,38.0
355,58,2023-09-26,Electronics,7.79,Cash,OH,False,48.0
356,229,2023-04-30,Electronics,65.58,Debit Card,CA,False,69.0
357,117,2023-03-30,Electronics,43.39,Debit Card,CA,False,51.0
358,279,2023-11-25,Clothing,35.12,Credit Card,TX,False,49.0
359,127,2023-03-09,Clothing,8.35,Debit Card,PA,False,74.0
360,129,2023-12-23,Books,18.86,Credit Card,FL,False,52.0
361,58,2023-04-08,Clothing,40.96,Cash,TX,False,32.0
362,122,2023-09-24,Home,145.01,Debit Card,OH,False,73.0
363,1,2023-04-15,Electronics,11.25,Debit Card,TX,False,49.0
364,239,2023-11-19,Electronics,26.26,PayPal,NY,False,23.0
365,290,2023-05-03,Home,70.54,Cash,NY,False,62.0
366,96,2023-01-29,Electronics,13.16,Cash,PA,False,38.0
367,126,2023-05-17,Clothing,71.14,PayPal,FL,False,50.0
368,118,2023-07-14,Home,5.48,PayPal,IL,False,49.0
369,48,2023-08-14,Home,7.4,Credit Card,NY,False,69.0
370,89,2023-11-28,Electronics,81.57,Credit Card,IL,False,36.0
371,237,2023-06-19,Clothing,58.52,Debit Card,CA,False,50.0
372,272,2023-01-09,Home,96.74,Debit Card,NY,False,45.0
373,189,2023-02-09,Electronics,108.9,Debit Card,NY,False,48.0
374,192,2023-01-25,Home,83.64,Debit Card,FL,False,38.0
375,69,2023-09-18,Home,7.6,Credit Card,PA,False,71.0
376,278,2023-08-14,Sports,26.15,Cash,IL,False,51.0
377,247,2023-05-04,Electronics,33.5,Debit Card,OH,False,32.0
378,76,2023-02-07,Books,55.43,Cash,NY,False,31.0
379,154,2023-11-24,Clothing,63.9,Debit Card,NY,False,36.0
380,144,2023-09-08,Clothing,24.98,PayPal,FL,True,60.0
381,86,2023-06-25,Electronics,21.64,Debit Card,FL,False,32.0
382,185,2023-03-31,Home,37.45,Debit Card,PA,False,23.0
383,285,2023-02-06,Electronics,35.85,Debit Card,IL,False,
384,220,2023-11-12,Clothing,17.5,Credit Card,,False,26.0
385,69,2023-06-25,Electronics,9.37,PayPal,OH,False,54.0
386,47,2023-10-11,Books,24.26,Debit Card,PA,False,37.0
387,94,2023-03-22,Books,52.65,Debit Card,CA,False,
388,238,2023-04-24,Home,31.64,Cash,TX,False,55.0
389,204,2023-02-09,Electronics,3.81,PayPal,NY,False,43.0
390,218,2023-10-28,Electronics,45.99,Debit Card,IL,True,35.0
391,39,2023-08-12,Home,36.93,Cash,PA,True,45.0
392,100,2023-11-14,Clothing,46.18,Cash,NY,False,72.0
393,289,2023-12-15,Electronics,68.08,Credit Card,IL,False,68.0
394,254,2023-04-25,Home,38.6,Cash,IL,False,26.0
395,222,2023-07-05,Sports,16.07,Debit Card,IL,False,49.0
396,23,2023-11-19,Home,37.76,Credit Card,NY,False,70.0
397,250,2023-02-25,Home,30.66,Credit Card,PA,False,73.0
398,10,2023-02-09,Sports,59.85,Debit Card,OH,False,23.0
399,246,2023-12-20,Electronics,13.42,PayPal,FL,False,31.0
400,100,2023-02-09,Home,88.6,Cash,NY,False,45.0
401,290,2023-12-13,Sports,27.19,Credit Card,IL,False,41.0
402,180,2023-08-25,Electronics,25.78,PayPal,PA,False,30.0
403,223,2023-10-16,Home,95.38,Debit Card,OH,False,60.0
404,250,2023-09-19,Home,84.48,Cash,TX,False,29.0
405,147,2023-08-04,Home,25.0,Cash,CA,False,68.0
406,96,2023-05-27,Home,15.63,Credit Card,IL,True,36.0
407,257,2023-12-02,Sports,55.95,Cash,TX,False,38.0
408,4,2023-06-17,Books,42.16,Cash,FL,False,
409,16,2023-04-02,Electronics,24.12,Cash,OH,False,36.0
410,280,2023-12-19,Books,82.57,Cash,OH,False,41.0
411,247,2023-02-28,Electronics,30.53,Debit Card,IL,True,43.0
412,258,2023-02-28,Clothing,17.13,PayPal,OH,False,62.0
413,160,2023-10-31,Clothing,49.42,Debit Card,TX,True,45.0
414,152,2023-06-18,Clothing,10.74,Debit Card,IL,False,63.0
415,178,2023-09-26,Clothing,23.04,Credit Card,NY,False,73.0
416,163,2023-12-29,Sports,70.16,Cash,,False,35.0
417,33,2023-02-14,Home,38.75,Debit Card,,False,61.0
418,179,2023-12-11,Home,41.3,Cash,PA,False,53.0
